TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
0	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:56	4/28/2008 7:37:57	1047.0	1.0null
1	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:58	4/28/2008 7:38:5	7137.0	7.0null
2	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:56	4/28/2008 7:37:57	1416.0	1.0null
3	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:58	4/28/2008 7:38:5	7055.0	7.0null
4	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:58	4/28/2008 7:38:11	12577.0	12.0null
5	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:59	4/28/2008 7:38:8	9070.0	9.0null
6	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:56	4/28/2008 7:37:58	1992.0	1.0null
7	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:57	4/28/2008 7:38:5	7380.0	7.0null
8	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:59	4/28/2008 7:38:8	9649.0	9.0null
9	0	4/28/2008 7:37:48	4/28/2008 7:37:56	4/28/2008 7:37:56	4/28/2008 7:37:58	1813.0	1.0null
10	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:59	4/28/2008 7:38:11	12007.0	12.0null
11	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:2	4127.0	4.0null
12	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:59	4/28/2008 7:38:10	10433.0	10.0null
13	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:6	7155.0	7.0null
14	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:3	4794.0	4.0null
15	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:59	4/28/2008 7:38:7	7213.0	7.0null
16	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:59	4/28/2008 7:38:9	10153.0	10.0null
17	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:5	6679.0	6.0null
18	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:3	4898.0	4.0null
19	0	4/28/2008 7:37:48	4/28/2008 7:37:57	4/28/2008 7:37:58	4/28/2008 7:38:14	15900.0	15.0null
20	0	4/28/2008 7:37:48	4/28/2008 7:37:58	4/28/2008 7:38:0	4/28/2008 7:38:9	9664.0	9.0null
21	0	4/28/2008 7:37:48	4/28/2008 7:37:58	4/28/2008 7:38:0	4/28/2008 7:38:9	8280.0	8.0null
22	0	4/28/2008 7:37:48	4/28/2008 7:37:58	4/28/2008 7:38:0	4/28/2008 7:38:11	10619.0	10.0null
23	0	4/28/2008 7:37:48	4/28/2008 7:37:58	4/28/2008 7:38:0	4/28/2008 7:38:10	9815.0	9.0null
24	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:0	4/28/2008 7:38:17	17134.0	17.0null
25	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:1	4/28/2008 7:38:16	14926.0	14.0null
26	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:17	14358.0	14.0null
27	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:11	10142.0	10.0null
28	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:10	8809.0	8.0null
29	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:14	12549.0	12.0null
30	0	4/28/2008 7:37:48	4/28/2008 7:37:58	4/28/2008 7:38:1	4/28/2008 7:38:11	10335.0	10.0null
31	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:0	4/28/2008 7:38:8	7985.0	7.0null
32	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:0	4/28/2008 7:38:9	9444.0	9.0null
33	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:2	4/28/2008 7:38:13	11107.0	11.0null
34	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:1	4/28/2008 7:38:12	10860.0	10.0null
35	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:1	4/28/2008 7:38:13	11895.0	11.0null
36	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:2	4/28/2008 7:38:18	16338.0	16.0null
37	0	4/28/2008 7:37:48	4/28/2008 7:37:59	4/28/2008 7:38:2	4/28/2008 7:38:12	10816.0	10.0null
38	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:14	11584.0	11.0null
39	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:4	4/28/2008 7:38:17	13527.0	13.0null
40	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:15	13119.0	13.0null
41	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:12	10428.0	10.0null
42	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:4	4/28/2008 7:38:20	15872.0	15.0null
43	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:17	14290.0	14.0null
44	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:4	4/28/2008 7:38:16	11980.0	11.0null
45	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:3	4/28/2008 7:38:13	10345.0	10.0null
46	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:3	4/28/2008 7:38:13	10045.0	10.0null
47	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:8	4/28/2008 7:38:19	10694.0	10.0null
48	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:3	4/28/2008 7:38:13	9899.0	9.0null
49	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:14	10252.0	10.0null
50	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:4	4/28/2008 7:38:18	13299.0	13.0null
51	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:18	16251.0	16.0null
52	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:12	10223.0	10.0null
53	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:3	4/28/2008 7:38:13	10411.0	10.0null
54	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:12	10411.0	10.0null
55	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:2	4/28/2008 7:38:13	11329.0	11.0null
56	0	4/28/2008 7:37:48	4/28/2008 7:38:0	4/28/2008 7:38:5	4/28/2008 7:38:19	13915.0	13.0null
57	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:8	4/28/2008 7:38:19	11028.0	11.0null
58	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:8	4/28/2008 7:38:20	12233.0	12.0null
59	0	4/28/2008 7:37:48	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:17	12750.0	12.0null
60	0	4/28/2008 7:37:49	4/28/2008 7:38:0	4/28/2008 7:38:3	4/28/2008 7:38:12	9616.0	9.0null
61	0	4/28/2008 7:37:49	4/28/2008 7:38:0	4/28/2008 7:38:3	4/28/2008 7:38:14	11236.0	11.0null
62	0	4/28/2008 7:37:49	4/28/2008 7:38:0	4/28/2008 7:38:1	4/28/2008 7:38:15	14041.0	14.0null
63	0	4/28/2008 7:37:49	4/28/2008 7:38:0	4/28/2008 7:38:8	4/28/2008 7:38:19	11340.0	11.0null
64	0	4/28/2008 7:37:49	4/28/2008 7:38:0	4/28/2008 7:38:9	4/28/2008 7:38:20	11281.0	11.0null
65	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:18	13967.0	13.0null
66	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:17	12759.0	12.0null
67	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:8	4/28/2008 7:38:19	10154.0	10.0null
68	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:20	15418.0	15.0null
69	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:15	11126.0	11.0null
70	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:3	4/28/2008 7:38:13	9955.0	9.0null
71	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:18	13024.0	13.0null
72	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:15	10974.0	10.0null
73	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:18	13040.0	13.0null
74	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:18	12754.0	12.0null
75	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:8	4/28/2008 7:38:21	13013.0	13.0null
76	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:11	4/28/2008 7:38:21	10462.0	10.0null
77	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:8	4/28/2008 7:38:17	9376.0	9.0null
78	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:11	4/28/2008 7:38:21	10038.0	10.0null
79	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:4	4/28/2008 7:38:16	11805.0	11.0null
80	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:20	15258.0	15.0null
81	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:18	13733.0	13.0null
82	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:18	13454.0	13.0null
83	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:16	11786.0	11.0null
84	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:5	4/28/2008 7:38:15	10779.0	10.0null
85	0	4/28/2008 7:37:49	4/28/2008 7:38:1	4/28/2008 7:38:4	4/28/2008 7:38:15	11113.0	11.0null
86	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:4	4/28/2008 7:38:14	10135.0	10.0null
87	0	4/28/2008 7:37:49	4/28/2008 7:38:2	4/28/2008 7:38:7	4/28/2008 7:38:18	11375.0	11.0null
88	0	4/28/2008 7:37:49	4/28/2008 7:38:3	4/28/2008 7:38:11	4/28/2008 7:38:21	9767.0	9.0null
89	0	4/28/2008 7:37:49	4/28/2008 7:38:3	4/28/2008 7:38:8	4/28/2008 7:38:20	12364.0	12.0null
90	0	4/28/2008 7:37:49	4/28/2008 7:38:3	4/28/2008 7:38:5	4/28/2008 7:38:16	11035.0	11.0null
91	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:11	4/28/2008 7:38:20	9538.0	9.0null
92	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:11	4/28/2008 7:38:19	8488.0	8.0null
93	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:5	4/28/2008 7:38:16	11314.0	11.0null
94	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:10	4/28/2008 7:38:21	11126.0	11.0null
95	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:8	4/28/2008 7:38:19	10117.0	10.0null
96	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:5	4/28/2008 7:38:16	10634.0	10.0null
97	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:13	4/28/2008 7:38:24	10576.0	10.0null
98	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:12	4/28/2008 7:38:19	7652.0	7.0null
99	0	4/28/2008 7:37:49	4/28/2008 7:38:4	4/28/2008 7:38:5	4/28/2008 7:38:17	11862.0	11.0null
100	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:15	4/28/2008 7:38:20	5590.0	5.0null
101	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:19	4/28/2008 7:38:23	4035.0	4.0null
102	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:15	4/28/2008 7:38:20	5265.0	5.0null
103	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:17	4/28/2008 7:38:21	4006.0	4.0null
