TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
0	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:27	4/29/2008 0:2:28	1512.0	1.0null
1	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:30	4/29/2008 0:2:39	8884.0	8.0null
2	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:28	4/29/2008 0:2:33	4127.0	4.0null
3	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:27	4/29/2008 0:2:29	1588.0	1.0null
4	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:28	4/29/2008 0:2:31	3422.0	3.0null
5	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:27	4/29/2008 0:2:28	1241.0	1.0null
6	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:30	4/29/2008 0:2:35	4693.0	4.0null
7	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:27	4/29/2008 0:2:30	3439.0	3.0null
8	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:29	4/29/2008 0:2:33	3940.0	3.0null
9	0	4/29/2008 0:2:14	4/29/2008 0:2:27	4/29/2008 0:2:29	4/29/2008 0:2:31	2514.0	2.0null
10	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:29	4/29/2008 0:2:32	2862.0	2.0null
11	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:31	4/29/2008 0:2:40	9041.0	9.0null
12	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:28	4/29/2008 0:2:31	2729.0	2.0null
13	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:29	4/29/2008 0:2:34	5072.0	5.0null
14	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:29	4/29/2008 0:2:33	3983.0	3.0null
15	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:29	4/29/2008 0:2:34	4579.0	4.0null
16	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:29	4/29/2008 0:2:32	3653.0	3.0null
17	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:30	4/29/2008 0:2:40	9772.0	9.0null
18	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:31	4/29/2008 0:2:40	8464.0	8.0null
19	0	4/29/2008 0:2:14	4/29/2008 0:2:28	4/29/2008 0:2:31	4/29/2008 0:2:45	13632.0	13.0null
20	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:32	4/29/2008 0:2:43	11115.0	11.0null
21	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:29	4/29/2008 0:2:31	2513.0	2.0null
22	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:30	4/29/2008 0:2:39	8865.0	8.0null
23	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:45	14251.0	14.0null
24	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:42	10610.0	10.0null
25	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:35	3916.0	3.0null
26	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:43	11599.0	11.0null
27	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:30	4/29/2008 0:2:34	3949.0	3.0null
28	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:46	15029.0	15.0null
29	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:41	9286.0	9.0null
30	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:34	3781.0	3.0null
31	0	4/29/2008 0:2:14	4/29/2008 0:2:29	4/29/2008 0:2:31	4/29/2008 0:2:40	8475.0	8.0null
32	0	4/29/2008 0:2:14	4/29/2008 0:2:30	4/29/2008 0:2:32	4/29/2008 0:2:41	9478.0	9.0null
33	0	4/29/2008 0:2:14	4/29/2008 0:2:30	4/29/2008 0:2:31	4/29/2008 0:2:35	4134.0	4.0null
34	0	4/29/2008 0:2:14	4/29/2008 0:2:30	4/29/2008 0:2:33	4/29/2008 0:2:43	10577.0	10.0null
35	0	4/29/2008 0:2:14	4/29/2008 0:2:30	4/29/2008 0:2:33	4/29/2008 0:2:45	11777.0	11.0null
36	0	4/29/2008 0:2:14	4/29/2008 0:2:30	4/29/2008 0:2:35	4/29/2008 0:2:44	9646.0	9.0null
37	0	4/29/2008 0:2:14	4/29/2008 0:2:31	4/29/2008 0:2:32	4/29/2008 0:2:39	7681.0	7.0null
38	0	4/29/2008 0:2:14	4/29/2008 0:2:31	4/29/2008 0:2:33	4/29/2008 0:2:43	10084.0	10.0null
