TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
0	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:40	4/21/2008 7:52:0	19502.0	19.0null
1	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:40	4/21/2008 7:52:6	26007.0	26.0null
2	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:52:53	71737.0	71.0null
3	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:41	4/21/2008 7:52:7	25579.0	25.0null
4	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:40	4/21/2008 7:52:1	21271.0	21.0null
5	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:43	4/21/2008 7:52:9	26223.0	26.0null
6	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:52:1	19341.0	19.0null
7	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:40	4/21/2008 7:52:9	28753.0	28.0null
8	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:53:33	111735.0	111.0null
9	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:41	4/21/2008 7:52:5	23506.0	23.0null
10	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:52:7	25227.0	25.0null
11	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:52:37	54936.0	54.0null
12	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:42	4/21/2008 7:52:5	23735.0	23.0null
13	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:41	4/21/2008 7:52:1	19936.0	19.0null
14	0	4/21/2008 7:51:27	4/21/2008 7:51:40	4/21/2008 7:51:43	4/21/2008 7:52:8	25132.0	25.0null
15	0	4/21/2008 7:51:27	4/21/2008 7:51:41	4/21/2008 7:51:41	4/21/2008 7:52:1	20060.0	20.0null
16	0	4/21/2008 7:51:27	4/21/2008 7:51:41	4/21/2008 7:51:42	4/21/2008 7:52:5	22959.0	22.0null
17	0	4/21/2008 7:51:27	4/21/2008 7:51:41	4/21/2008 7:51:42	4/21/2008 7:52:45	63142.0	63.0null
18	0	4/21/2008 7:51:27	4/21/2008 7:51:41	4/21/2008 7:51:41	4/21/2008 7:52:0	18307.0	18.0null
19	0	4/21/2008 7:51:27	4/21/2008 7:51:41	4/21/2008 7:51:42	4/21/2008 7:52:0	17962.0	17.0null
20	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:42	4/21/2008 7:52:53	70921.0	70.0null
21	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:43	4/21/2008 7:52:8	25549.0	25.0null
22	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:43	4/21/2008 7:52:7	23706.0	23.0null
23	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:50	4/21/2008 7:55:42	231836.0	231.0null
24	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:44	4/21/2008 7:52:7	23586.0	23.0null
25	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:45	4/21/2008 7:52:8	22782.0	22.0null
26	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:50	4/21/2008 7:52:10	19482.0	19.0null
27	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:50	4/21/2008 7:54:39	168983.0	168.0null
28	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:50	4/21/2008 7:52:9	18519.0	18.0null
29	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:57	4/21/2008 7:54:54	177250.0	177.0null
30	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:50	4/21/2008 7:52:8	18265.0	18.0null
31	0	4/21/2008 7:51:27	4/21/2008 7:51:42	4/21/2008 7:51:45	4/21/2008 7:55:42	237354.0	237.0null
32	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:44	4/21/2008 7:52:7	23564.0	23.0null
33	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:46	4/21/2008 7:54:28	161757.0	161.0null
34	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:46	4/21/2008 7:52:8	22483.0	22.0null
35	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:56	4/21/2008 7:54:24	148196.0	148.0null
36	0	4/21/2008 7:51:27	4/21/2008 7:51:43	4/21/2008 7:51:52	4/21/2008 7:52:12	19566.0	19.0null
37	0	4/21/2008 7:51:27	4/21/2008 7:51:44	4/21/2008 7:51:53	4/21/2008 7:52:8	15341.0	15.0null
38	0	4/21/2008 7:51:27	4/21/2008 7:51:44	4/21/2008 7:51:59	4/21/2008 7:55:30	210325.0	210.0null
39	0	4/21/2008 7:51:27	4/21/2008 7:51:44	4/21/2008 7:52:3	4/21/2008 7:55:42	218931.0	218.0null
40	0	4/21/2008 7:51:28	4/21/2008 7:51:43	4/21/2008 7:51:45	4/21/2008 7:52:9	23697.0	23.0null
41	0	4/21/2008 7:51:28	4/21/2008 7:51:43	4/21/2008 7:51:47	4/21/2008 7:52:10	22947.0	22.0null
42	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:56	4/21/2008 7:52:48	52125.0	52.0null
43	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:59	4/21/2008 7:55:30	210562.0	210.0null
44	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:47	4/21/2008 7:52:9	22306.0	22.0null
45	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:57	4/21/2008 7:55:42	224844.0	224.0null
46	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:59	4/21/2008 7:52:49	49256.0	49.0null
47	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:56:20	256754.0	256.0null
48	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:5	4/21/2008 7:55:35	210776.0	210.0null
49	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:5	4/21/2008 7:52:31	26006.0	26.0null
50	0	4/21/2008 7:51:28	4/21/2008 7:51:43	4/21/2008 7:51:46	4/21/2008 7:52:10	23483.0	23.0null
51	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:46	4/21/2008 7:52:9	22693.0	22.0null
52	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:46	4/21/2008 7:52:9	22856.0	22.0null
53	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:9	22484.0	22.0null
54	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:45	4/21/2008 7:52:8	22962.0	22.0null
55	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:53	4/21/2008 7:52:24	30922.0	30.0null
56	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:59	4/21/2008 7:55:18	198827.0	198.0null
57	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:9	22292.0	22.0null
58	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:53	4/21/2008 7:52:21	28177.0	28.0null
59	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:1	4/21/2008 7:53:17	75396.0	75.0null
60	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:53	4/21/2008 7:52:9	15436.0	15.0null
